"0";"Annuler"
Nos informateurs en Kryte signalent que la situation a empirée à Hoelbrak et à la Citadelle Noire. Les réfugiés qui envahissent les villes fuient les régions nord des Contreforts du voyageur et du Plateau de Diessa dévastées par l'alliance des Draguerres et de la Légion de la Flamme. Nos confrères peinent à repousser les envahisseurs.

En tant que garde séraphin, ma place est ici. Mais je souhaiterais que vous veniez en aide à ces villes. La Citadelle a organisé un quorum de défense dans le Cœur de l'Imperator. Toute aide est la bienvenue. Rendez-vous au quorum et faites savoir aux tribuns que vous pouvez les aider. Mais avant de partir, arrêtez-vous au bureau de Rytlock. Il aura peut-être d'autres instructions à vous donner.

– Logan

<c=#ff8c00>[lbracket]Allez à la Citadelle noire et cherchez "Rox : une mission vitale" sur la carte.[rbracket] <br><br>[lbracket]Allez au bureau de Rytlock et cherchez "Braham : l'aide des Légions" sur votre carte.[rbracket]</c>"
"13";"Capitaine Logan Thackeray"
"14";"Appel aux armes"
"15";"Savant[f:"Savante"],

Un flair prodigieux dans les Contreforts du voyageur et au Plateau de Diessa nous a permis de faire des découvertes capitales. Une alliance entre les Draguerres et la Légion de la Flamme ? Voilà qui est inhabituel. Même dans mes hypothèses les plus folles, je n'aurais pu prédire une telle chose. Et lorsqu'une folie irrépressible rencontre une bêtise inébranlable, vous pouvez vous attendre à un déluge d'inepties.

Mais je m'écarte du sujet. Il est évident que ces têtes de mule de la Citadelle noire et d'Hoelbrak ont perdu le contrôle de la situation. Ma présence est essentielle à Rata Sum, mais vous avez la noble possibilité de prêter main forte à ces villes. Rendez-vous au Cœur de l'Imperator à la Citadelle. Tous leurs officiers les plus importants y sont rassemblés en un quorum de défense. Informez-les de l'aide que vous pouvez leur apporter, puis rendez-vous au bureau de Rytlock afin d'obtenir de plus amples instructions.

– Zojja

<c=#ff8c00>[lbracket]Allez à la Citadelle noire et cherchez "Rox : une mission vitale" sur la carte.[rbracket] <br><br>[lbracket]Allez au bureau de Rytlock et cherchez "Braham : l'aide des légions" sur votre carte.[rbracket]</c>"
"16";"[F]Zojja"
"17";"Appel aux armes"
"18";"Un retournement de situation s'est opéré dans la bataille contre les Draguerres et la Légion de la Flamme. Les Veilleurs ont renforcé nos rangs et ont attaqués. Cependant, les envahisseurs sont déterminés et ils ont accès à des caches d'armes dans les Contreforts du voyageur et au Plateau de Diessa. Je viens aussi d'apprendre qu'ils font des prisonniers. Les Veilleurs ont besoin de votre aide. Affaiblissez les forces ennemies et brisez leur alliance malsaine. Faites-le pour la Kryte, et pour nos amis.

– Logan"
"19";"Attention"
"20";"Nouvelles du Centre de commandement. Les troupes des Veilleurs ont enfin rejoint à la bataille. Elles avancent vers l'armée des Draguerres et de la Légion de la Flamme, et tentent de les repousser en protégeant les élevages. Ce n'est pas chose facile car ces brutes cachent des armes dans les Contreforts du voyageur et au Plateau de Diessa. Ils font même des prisonniers à présent. Je veux que vous alliez là-bas, soldat. Occupez-vous d'eux.

– Rytlock"
"21";"Addendum"
"22";"Je serai brève. Les Veilleurs se sont joints à la lutte contre l'invasion des Draguerres et de la Légion de la Flamme. Ils essaient de repousser les forces ennemies tout en préservant les vies des colons des Contreforts du voyageur. Ils ont découvert que les envahisseurs ont caché des armes dans les Contreforts du voyageur et au Plateau de Diessa. Mais il y a pire, ils font des prisonniers. Pourfendeur[f:"Pourfendeuse"], s'il y a bien un moment où nous avons besoin de vous, c'est maintenant.

– Eir"
"23";"Contre-attaque"
"24";"J'ai des nouvelles. Les troupes des Veilleurs se rassemblent près d'Hoelbrak et de la Citadelle noire. Ils les aident à combattre l'alliance des Draguerres et de la Légion de la Flamme. Cependant, cela risque de ne pas être suffisant. Les envahisseurs ne manquent pas d'armes, car ils en ont cachées dans les Contreforts du voyageur et au Plateau de Diessa. Mais il y a pire. Ils font des prisonniers. Ils ont besoin de vous, Vaillant[f:"Vaillante"]. Vous devez arrêter cette menace avant qu'elle ne détruise nos alliés.

– Caithe"
"25";"À l'attaque"
"26";"Un nouvel événement requiert toute votre attention. Les ennemis font maintenant des prisonniers. Les Veilleurs ont fournis des troupes et tentent de réduire le nombre d'assaillants, mais ils sont dans une impasse. Les Draguerres et la Légion de la Flamme récupèrent des armes de leurs caches des Contreforts du voyageur et du Plateau de Diessa. Les Veilleurs ont à l'évidence besoin de quelqu'un de votre trempe pour les aider. Alors allez là-bas, et aidez-les à leur refaire le portrait !

– Zojja"
"27";"Ennemis infatigables"
"28";"A tous les Veilleurs réservistes :

Les récits d'événements aux Contreforts du voyageur et au Plateau de Diessa sont parvenus jusqu'à nous. Les Veilleurs se mobilisent, c'est pourquoi tous leurs membres actifs sont déployés. C'est-à-dire vous. Nous avons entendu parler d'une offensive militaire de grande ampleur de l'alliance de la Légion de la Flamme et des Draguerres. Les premiers éclaireurs des Veilleurs sont arrivés sur la zone, ils coordonnent la riposte. Les envahisseurs ont fait prisonniers des citoyens tyriens innocents. C'est inadmissible.

Rendez-vous à la Citadelle noire et parlez dès que vous le pouvez au tribun Rytlock Brimstone. La ville a organisé un quorum de défense dans le Cœur de l'Imperator. Présentez-vous au Cœur et offrez vos services au Conseil de guerre. Nous devons joindre nos efforts et rassembler autant de forces que possible pour faire face à cette invasion.

– Générale Almorra Garde-âme

<c=#ff8c00>[lbracket]Allez à la Citadelle noire et cherchez "Rox : une mission vitale" sur la carte.[rbracket] <br><br>[lbracket]Allez au bureau de Rytlock et cherchez "Braham : l'aide des légions" sur votre carte.[rbracket]</c>"
"29";"[F]Générale Almorra"
"30";"Appel aux armes"
"31";"Maintenir enfoncé pour armer la catapulte et tirer."
"32";"Feu"
"33";"Arme de la bagarre costumée"
"34";"Creuser"
"35";"Arc"
"36";"Small Bomb"
"37";"Bière"
"38";"Vendre"
"39";"Objets de joueur"
"40";"Jouer"
"41";"Compétence de bagarre costumée"
"42";"Attaquer"
"43";"Disponible uniquement pour une durée limitée ! Après consommation, votre personnage achève les ennemis en JcJ et McM en lâchant une bombe géante de l'Adventure Box. Dure une heure."
"44";"Soutenez votre<br>arène personnalisée<br>favorite"
"45";"Ajoute des jours à une arène personnalisée. Chaque coupon ajoute un jour."
"46";"Démarrez votre propre arène<br> personnalisée !"
"47";"Plus de pièces !<br>Plus de vie !<br>Plus de plaisir !"
"48";"Chaque pièce rapporte cinq vies dans le jeu de la Super Adventure Box.

Allez voir Moto à Rata Sum afin de prendre part à la Super Adventure Box, un jeu d'aventure ludique présenté dans le style d'un jeu de console classique."
"49";"Chaleur et<br>augmentations<br>pour tous vos amis !"
"50";"Alimentez le feu pour créer une vaste zone d'augmentation pour les alliés à proximité. Lorsque vous allumez le feu, choisissez entre expérience, karma et découverte de magie."
"51";"Disponible pour une durée limitée !<br>Effets de la Super Adventure Box !"
"52";"Crée une boîte de Super Adventure pleine de surprises pour toutes les personnes présentes dans la zone. Chaque boîte est à usage unique et reste active pendant 10 minutes. Disponible uniquement pour une durée limitée."
"53";"Chemise cintrée décontractée"
"54";"Chemise froncée en dentelle florale"
"55";"Saut"
"56";"Attaquer"
"57";"Rox vous attendra à l'élevage du nord de Nolan. Votre collaboration est essentielle."
"58";"Knut Ours Blanc habite à la Grand-loge d'Hoelbrak. De nombreux Norns y ont cherché refuge."
"59";"Tir enflammé"
"60";"Arme - Focus"
"61";"Arc[s] de bandit"
"62";"Coffre splendide"
"63";"Activer"
"64";"Hologramme de dragon"
"65";"[F]Hache[s] modniir[s]"
"66";"Les habits de ville ne peuvent plus être équipés séparément.

Parlez à un marchand d'armures du Lion noir au comptoir de l'une des grandes villes pour échanger cet objet contre une apparence de casque avec le même aspect."
"67";"Dégâts par altération +12
Précision +12
Robustesse +12
Puissance +12
Vitalité +12
Guérison +12
Férocité +12"
"68";"Double-cliquez pour appliquer cette apparence à n'importe quelle autre épée à une main."
"69";"Apparence[s] de super épée"
"70";"Double-cliquez pour appliquer cette apparence à n'importe quel autre espadon."
"71";"Apparence[s] de super espadon"
"72";"Double-cliquez pour appliquer cette apparence à n'importe quel autre sceptre."
"73";"Apparence[s] de super sceptre"
"74";"Double-cliquez pour appliquer cette apparence à n'importe quel autre bâton."
"75";"Apparence[s] de super bâton"
"76";"Double-cliquez pour appliquer cette apparence à n'importe quel autre bouclier."
"77";"Apparence[s] de super bouclier"
"78";"Double-cliquez pour appliquer cette apparence à n'importe quel autre arc court."
"79";"Apparence[s] de super arc court"
"80";"Double-cliquez pour appliquer cette apparence à n'importe quel autre arc long."
"81";"Apparence[s] de super arc long"
"82";"Double-cliquez pour ajouter les statistiques d'un autre objet d'emplacement de dos à cette apparence. (capacité à usage unique)"
"83";"Super couvre-sac[pl:"sacs"] à dos"
"84";"Rata Sum<br>(Espace public des universités)"
"85";"Promontoire divin<br>(Ville haute)"
"86";"Promontoire divin<br>(Promenade inférieure)"
"87";"Braham cherche Knut Ours Blanc à la Grand-loge d'Hoelbrak."
"88";"Les habitants de Cragstead supportent à peine les assauts de l'Alliance de la Fusion. Ils ne tiendront plus longtemps."
"89";"Braham se prépare à sauver sa colonie seul."
"90";"Crée une arène personnalisée pour les batailles JcJ. Vous pouvez configurer les cartes, les mots de passe, la taille des équipes de l'arène, et bien d'autres options encore. Les arènes sont initialement actives pendant 30 jours."
"91";"Une fois morts, les joueurs réapparaissent individuellement après une durée prédéterminée."
"92";"Tous les joueurs morts réapparaissent ensemble après une durée prédéterminée."
"93";"%str1% a demandé à rejoindre le groupe."
"94";"Match classé"
"95";"Match rapide"
"96";"Créez une liste ou rejoignez la liste d'attente solo, et participez à un match classé avec %num1% équipes de %num2% joueurs."
"97";"Créez une liste ou rejoignez la liste d'attente solo, et participez à un match rapide avec %num1% équipes de %num2% joueurs."
"98";"Créez une liste ou rejoignez la liste d'attente solo, et participez à un tournoi rapide en %num3% manches à élimination directe avec %num1% équipes de %num2% joueurs."
"99";"Créez une liste ou rejoignez la liste d'attente solo, et participez à un tournoi classé en %num3% manches à élimination directe avec %num1% équipes de %num2% joueurs."
"100";"%num1%- Equipe de tournoi rapide"
"101";"%num1%- Equipe de tournoi classé"
"102";"Apparence[s] d'arc court éthéré"
"103";"En cas de coup critique, vous infligez 2 charges de Tourment pendant 5 secondes aux ennemis proches de votre cible. <br><c=@reminder>(Temps de recharge : 5 secondes)</c>"
"104";"Apparence[s] de bâton éthéré"
"105";"Sanctuaire de Brill"
"106";"Stalactite"
"107";"Pour accéder à votre arène personnalisée, ouvrez la Fenêtre JcJ et sélectionnez l'onglet Arène personnalisée. Vous pourrez alors configurer ou ajouter du temps à vos arènes personnalisées, ainsi qu'en acheter d'autres. Vous pouvez configurer des paramètres individuels ou choisir entre Standard et Tournoi afin que votre arène personnalisée réponde automatiquement aux standards de configuration d'ArenaNet. Pour enregistrer vos modifications, cliquez sur "Sauvegarder" en bas à droite du panneau de contrôle.

Remarque : si vous vous éloignez trop des configurations officielles, votre arène ne rapportera aucune gloire aux joueurs. Si vous apportez des modifications alors que des joueurs sont présents dans votre arène personnalisée, ceux-ci seront informés de la reconfiguration du serveur et devront choisir s'ils souhaitent ou non continuer à obtenir de la gloire dans cette nouvelle version de l'arène personnalisée. Les autres joueurs ont accès à votre arène personnalisée via le navigateur JcJ du Cœur des Brumes.

Les nouvelles arènes personnalisées possèdent un temps de jeu initial de 30 jours. Le temps restant apparaît en bas de la fenêtre. Pour ajouter du temps supplémentaire, cliquez sur "Ajouter du temps" en bas à droite. Pour ajouter du temps, vous devez acquérir des coupons de temps d'arène personnalisée auprès de la Compagnie commerciale du Lion noir. Chaque coupon de temps ajoute un jour supplémentaire à une arène personnalisée. N'importe quel joueur de votre arène personnalisée peut lui ajouter du temps en double-cliquant sur un coupon de temps de son inventaire.

Merci beaucoup d'héberger une arène personnalisée. Amusez-vous bien !"
"108";"Arènes personnalisées JcJ GW2"
"109";"Votre arène personnalisée est prête !"
"110";"Remboursement de coupon de temps"
"111";"Battez l'Alliance de la Fusion, détruisez les dispositifs d'écoute et contenez les tempêtes de glace instables."
"112";"Battez l'Alliance de la Fusion et protégez les réfugiés."
"113";"Détruisez les dispositifs d'écoute de l'Alliance de la Fusion."
"114";"Battez l'Alliance de la Fusion, protégez les réfugiés et défendez les colonies de l'invasion."
"115";"Point de passage de la Cache d'Angvar"
"116";"Cache d'Angvar"
"117";"Une bulle de babioles comprimées de la Super Adventure Box. Echangez-les avec Moto à Rata Sum."
"118";"Bulle[s] de babioles"
"119";"Chaque semaine votre guilde peut remporter un maximum de %num1% distinctions par le biais de missions %str1%."
"120";"Aucun niveau terminé"
"121";"Palier %num1% terminé"
"122";"Terminé"
"123";"Distinctions de guilde remportées : %num1%"
"124";"Les distinctions de guilde sont remportées en terminant des missions de guilde. Elles sont utilisées pour débloquer de nouveaux types de mission et acheter des améliorations de haut niveau."
"125";"Domaine de Brill"
"126";"Rébellion de Brill"
"127";"À utiliser pour fabriquer des armes avec bonus de Puissance, Férocité et Précision."
