"0";"Abbrechen"
"48";"Jede Münze hat den Gegenwert von fünf Leben in einer Super Adventure Box Aktivität.

Besucht Moto in Rata Sum, um an der Super Adventure Box teilzunehmen, einem witzigen Abenteuer-Spiel, dass Euch im klassischen Konsolen-Stil präsentiert wird."
"49";"Wärme und<br>Verstärkungen für<br>all Eure Freunde!"
"50";"Schürt das Feuer und schafft einen Ort, der alle Verbündeten in der Nähe verstärkt. Wählt zwischen Erfahrungspunkten, Karma und Magischem Gespür, wenn ihr das Feuer entfacht."
"51";"Nur für kurze Zeit erhältlich!<br>Super Adventure Box Effekte jederzeit!"
"52";"Erstellt für alle in der Nähe eine Kiste, die mit Super-Abenteuerspaß gefüllt ist. Jede Kiste ist einmalig verwendbar und bleibt für 10 Minuten in der Welt bestehen. Nur für kurze Zeit erhältlich."
"53";"Maßgeschneidertes legeres Hemd"
"54";"Rustikales gerafftes Hemd"
"55";"Springen"
"56";"Angreifen"
"57";"Rox wird sich mit Euch an der nördlichen Nolan-Brutstätte treffen. Eure Kooperation ist entscheidend."
"58";"Knut Weißbär hält sich in der Großen Halle von Hoelbrak auf. Viele Norn suchen derzeit dort Unterschlupf."
"59";"Feuerschuss"
"60";"Waffe – Fokus"
"61";"[M]Banditen-Bogen"
"62";"Fantastische Truhe"
"63";"Aktivieren"
"64";"Drachen-Hologramm"
"65";"Modniir-Axt"
"66";"Stadtkleidung kann nicht länger getrennt angelegt werden.

Sprecht mit einem Rüstungshändler der Schwarzlöwen-Handelsgesellschaft in einer beliebigen größeren Stadt, um dies gegen einen Helm-Skin mit demselben Erscheinungsbild zu tauschen."
"67";"+12 Zustandsschaden
+12 Präzision
+12 Zähigkeit
+12 Kraft
+12 Vitalität
+12 Heilkraft
+12 Wildheit"
"68";"Doppelklicken, um dieses Erscheinungsbild auf andere einhändige Schwerter anzuwenden."
"69";"Skin[pl:"Skins"] für Super-Schwert"
"70";"Doppelklicken, um dieses Erscheinungsbild auf andere Großschwerter anzuwenden."
"71";"Skin[pl:"Skins"] für Super-Großschwert"
"72";"Doppelklicken, um dieses Erscheinungsbild auf andere Zepter anzuwenden."
"73";"Skin[pl:"Skins"] für Super-Zepter"
"74";"Doppelklicken, um dieses Erscheinungsbild auf andere Stäbe anzuwenden."
"75";"Skin[pl:"Skins"] für Super-Stab"
"76";"Doppelklicken, um dieses Erscheinungsbild auf andere Schilde anzuwenden."
"77";"Skin[pl:"Skins"] für Super-Schild"
"78";"Doppelklicken, um dieses Erscheinungsbild auf andere Kurzbögen anzuwenden."
"79";"Skin[pl:"Skins"] für Super-Kurzbogen"
"80";"Doppelklicken, um dieses Erscheinungsbild auf andere Langbögen anzuwenden."
"81";"Skin[pl:"Skins"] für Super-Langbogen"
"82";"Doppelklicken, um diesem Erscheinungsbild die Werte eines anderen Gegenstands für den Rücken-Ausrüstungsplatz zu verleihen. (Einmalige Fähigkeit)"
"83";"Super-Rucksack-Bezug[pl:"Bezüge"]"
"84";"Rata Sum<br>(Marktviertel der Kollegien)"
"85";"Götterfels<br>(Obere Stadt)"
"86";"Götterfels<br>(Untere Promenade)"
"87";"Braham sucht in der Großen Halle von Hoelbrak nach Knut Weißbär."
"88";"Die Bewohner von Klippheim können den Überfällen der Feurigen Allianz nichts entgegensetzen. Lange halten sie dem ständigen Ansturm der Feinde nicht mehr stand."
"89";"Braham bereitet sich darauf vor, sein Gehöft im Alleingang zu retten."
"90";"Erstellt eine selbsterstellte Arena für PvP-Kämpfe. Ihr könnt die Karten der Arena konfigurieren und Passwörter, die Größe der Teams und viele weitere Optionen einstellen. Arenen sind nach dem Erstellen 30 Tage lang aktiv."
"91";"Nach dem Tod erscheinen Spieler in bestimmten Zeitabständen einzeln wieder."
"92";"Alle getöteten Spieler erscheinen zur gleichen Zeit in bestimmten Zeitabständen wieder."
"93";"%str1% hat um Aufnahme in die Gruppe gebeten."
"94";"Bewertetes Match"
"95";"Schnelles Match"
"96";"Erstellt eine Spielerliste oder reiht Euch in der Solo-Warteschlange für ein bewertetes Match mit %num1% Teams zu je %num2% Spielern ein."
"97";"Erstellt eine Spielerliste oder reiht Euch in der Solo-Warteschlange für ein schnelles Match mit %num1% Teams zu je %num2% Spielern ein."
"98";"Erstellt eine Spielerliste oder reiht Euch in der Solo-Warteschlange ein, und nehmt an einem schnellen Turnier mit K.o.-System teil, das über %num3%-Runden mit %num1% Teams zu je %num2% Spielern läuft."
"99";"Erstellt eine Spielerliste oder reiht Euch in der Solo-Warteschlange ein, und nehmt an einem bewerteten Turnier mit K.o.-System teil, das über %num3%-Runden mit %num1% Teams zu je %num2% Spielern läuft."
"100";"Schnelles Turnier mit %num1% Teams"
"101";"Bewertetes Turnier mit %num1% Teams"
"102";"Skin[pl:"Skins"] für ätherisierten Kurzbogen"
"103";"Fügt Gegnern rund um Euer Ziel nach einem kritischen Treffer 5 Sekunden lang 2 Stapel Pein zu. <br><c=@reminder>(Erholzeit: 5 Sekunden)</c>"
"104";"Skin[pl:"Skins"] für ätherisierten Stab"
"105";"Glints Zuflucht"
"106";"Eiszapfen"
"107";"Um Eure selbsterstellte Arena zu betreten, öffnet die PvP-Ansicht und wählt die Registerkarte "Selbsterstellte Arena". Hier könnt Ihr Einstellungen für Eure selbsterstellte Arena vornehmen, die Zeit Eurer selbsterstellten Arenen verlängern und zusätzliche selbsterstellte Arenen kaufen. Ihr könnt eigene Einstellungen vornehmen oder zwischen Standard und Turnier auswählen, um automatisch eine selbsterstellte Arena generieren zu lassen, die den offiziellen Einstellungen von ArenaNet entspricht. Um Eure Änderungen zu speichern, klickt rechts unten auf "Speichern".

Hinweis: Falls Ihr zu stark von den offiziellen Einstellungen abweicht, verleiht Eure Arena Spielern keinen Ruhm. Falls Ihr Änderungen vornehmt, während Spieler gerade in Eurer selbsterstellten Arena sind, werden sie darüber informiert, dass der Server umkonfiguriert wurde und ob ihnen die geänderte selbsterstellte Arena weiterhin Ruhm gewährt. Andere Spieler können Eure selbsterstellte Arena über den PvP-Browser im Herz der Nebel betreten.

Neue selbsterstellte Arenen verfügen über 30 Tage Spielzeit. Die verbleibende Zeit wird unten in der PvP-Ansicht angezeigt. Um mehr Zeit hinzuzufügen, klickt rechts unten auf "Zeit hinzufügen". Um Zeit hinzuzufügen, benötigt Ihr Zeitmarken, die Ihr bei der Schwarzlöwen-Handelsgesellschaft erstehen könnt. Für jede Zeitmarke verlängert sich die Spielzeit der selbsterstellten Arena um einen Tag. Jeder Spieler in Eurer selbsterstellten Arena kann weitere Spieltage hinzufügen, indem er in seinem Inventar eine Zeitmarke doppelt anklickt.

Vielen Dank, dass Ihr eine selbsterstellte Arena zur Verfügung stellt. Viel Spaß!"
"108";"GW2 PvP: Selbsterstellte Arenen"
"109";"Eure selbsterstellte Arena ist bereit!"
"110";"Zeitmarkenrückerstattung"
"111";"Besiegt die Feurige Allianz, zerstört Abhörgeräte und erstickt instabile Eisstürme."
"112";"Besiegt die Feurige Allianz und beschützt Flüchtlinge."
"113";"Zerstört die Abhörgeräte der Feurigen Allianz."
"114";"Besiegt die Feurige Allianz, beschützt Flüchtlinge und verteidigt Gehöfte gegen die Invasion."
"115";"Wegmarke Angvars Schatzkammer"
"116";"Angvars Schatzkammer"
"117";"Eine Blase, vollgestopft mit komprimierten Sphären aus der Super Adventure Box. Tauscht diese mit Moto in Rata Sum."
"118";"Sphären-Blase[pl:"Blasen"]"
"119";"Eure Gilde kann jede Woche höchstens %num1% Marken durch %str1% Missionen verdienen."
"120";"Kein Rang abgeschlossen"
"121";"Rang %num1% abgeschlossen"
"122";"Abgeschlossen"
"123";"Verdiente Gilden-Marken: %num1%"
"124";"Gilden-Marken werden durch erfolgreichen Abschluss von Gilden-Missionen verdient. Benutzt sie, um neue Gilden-Missionen freizuschalten und hochstufige Verbesserungen zu kaufen."
"125";"Glints Einflussbereich"
"126";"Glints Rebellion"
"127";"Dient zur Herstellung von Waffen mit +Kraft, +Wildheit und +Präzision."
