"0";"Vertragswerk Mystische Schmiede"
"33";"Greifen-Meister[f:"Meisterin"] Labyrinthklippen: Silber"
"34";"Gestohlene Vorräte"
"35";"Gnade zeigen"
"36";"Ein paar Tage östlich von Amnoon, tief in diesem Meer aus Sand, würde man sich glücklich schätzen, stieße man auf das, was ich "mein Dilemma" nenne. Vier Dschinn schwebten da entlang und stritten sich ausgiebig über ihre elementaren Orientierungen.

Ich stand eine ganze Weile da und hörte ihrer großen Debatte zu, bis ich leicht fasziniert begriff, dass diese Dschinn schon seit Monaten miteinander gestritten hatten, ohne von ihren jeweiligen Standpunkten auch nur einen Zentimeter abzuweichen, egal, wie spät, und welches Wetter es war oder wer gerade vorbeikam. Dschinn, wie mir klar wurde, brauchen keine Nahrung wie die anderen Lebewesen Tyrias: Ihre Verbindung mit der Welt durch das von ihnen vertretene Element schien alles zu sein, was sie im Leben brauchten.

Leider hatte ich mich wie die meisten Besucher dieses Sandmeers verlaufen und hatte weder genug Energie noch Proviant, mich allein zurechtzufinden.

Als ich mich den vier Dschinn näherte, schenkten sie mir wenig Beachtung. Der Feuer-Dschinn geruhte kaum, meine Gegenwart zu bemerken und schnaubte irgendeine Obszönität, ehe er sich wieder seiner Debatte zuwendete. Der Luft-Dschinn ignorierte mich vollkommen und blickte durch mich hindurch, als bestünde ich aus nichts als seinem Element selbst. Der Erd-Dschinn ließ einen Augenblick lang von seinem Gedankengang ab, um mich anzustarren, doch nur der Wasser-Dschinn verlieh seinen Gedanken mit der Stimme Ausdruck.

"Vielleicht sollte der da entscheiden!", der Dschinn wedelte mit einem seiner Arme in meine generelle Richtung, "Eine neutrale Partei, die diese grässliche Pattsituation auflöst!"

Die anderen drei hörten endlich auf zu streiten und starrten nun alle auf mich herab, wie man eine Fliege auf seinem Frühstück betrachten würde. "Der da?" Das Gesicht des Feuer-Dschinns legte sich vor Enttäuschung in Falten. "Der ist ja ziemlich klein, nicht wahr? Wie könnte der schon wissen, was auf dem Spiel steht?"

"Ich denke, es wäre ein neuartiger Gedanke.", sagte der Luft-Dschinn. "Aber zunächst einmal müssen wir ihm erklären, worum es bei dieser Meinungsverschiedenheit geht."

"Es gibt keine Meinungsverschiedenheit." Der Erd-Dschinn war nicht gerade entzückt und verschränkte voller doppeltem Misstrauen beide Armpaare. "Ihr drei müsst erst einmal begreifen, dass Eure Elemente ohne die Erde, auf der wir alle stehen, nutzlos sind."

Der Wasser-Dschinn war resolut: "Das bringt uns wieder nicht weiter. Aber der da, dieser Mensch, der lebt auf der Erde, trinkt Wasser, atmet Luft und benutzt Feuer, um die Dunkelheit der Nacht zu bannen. Er findet uns alle nützlich."

"Mag sein.", sagte der Erd-Dschinn ungerührt. "Aber noch einmal: Ohne die Erde kann er nicht atmen, er kann nicht trinken und ganz sicher kann er die Dunkelheit nicht bannen."

Die anderen drei Dschinn waren die Pattsituation langsam leid, wollten aber offensichtlich gegenüber dem Dschinn, der sie repräsentierte, nicht nachgeben. Sie alle wendeten sich mir zu, umringten mich, schwebten halb so hoch wie ich über den sandigen Dünen. Ihre Augen ohne Lidschlag ruhten auf mir und sie ragten mit kaum verhohlener Bosheit über mir auf.

"Nun denn,", begann der Luft-Dschinn, "ich denke, eine Erklärung kann nicht schaden."

"Wir vier repräsentieren die Elemente der Natur." Der Feuer-Dschinn schwebte näher, vielleicht als Drohgebärde. "Und einer von uns hat eindeutig mehr Kraft als die anderen."

Endlich, zum ersten Mal, seit ich ihre Debatte gestört hatte, erhob ich das Wort: "Ist denn in der Natur kein Gleichgewicht zu finden?"

Da lachten alle vier Dschinn. "Gleichgewicht ist eine Illusion.", sagte der Erd-Dschinn. "Die Natur strebt nach Gleichgewicht, doch sie findet es nie. Regen entstammt dem Ungleichgewicht zwischen Wasser und Luft. Vulkane dem zwischen Erde und Feuer. Sandstürme dem zwischen Luft und Erde. Darum zanken wir uns unaufhörlich."

"Und es ist der Grund, weshalb Ihr uns sagen müsst, welches Element das größte ist.", sagte der Luft-Dschinn. "Sagt schon."

Ich dachte einige Zeit darüber nach, sah aber, dass meine Freunde nicht gerne warteten, und entschied mich, meine Gedanken laut zu äußern, obwohl ich wusste, dass – egal, wie meine Antwort auch ausfiele – sie die vier zweifellos kaum zufriedenstellen würde.

"Nun, betrachten wir doch mal meine Lage,", so begann ich. "Lebewesen aus Tyria müssen auf der Erde schreiten, was ihr daher Wert verleiht."

"Das hatte ich erwartet", sagte der Erd-Dschinn und warf sich in die Brust. "Diese Debatte wird bald vorbei sein."

"Aber", so fuhr ich zu seinem großen Entsetzen fort, "hier stehen wir in den Dünen. Ich habe versucht, auf dieser Erde zu schreiten, doch sie ist weich und instabil. Ich bin erschöpft und der Sand macht es mir nicht leichter."

Ich wendete mich dem Luft-Dschinn zu, der zunächst erfreut schien, weil ich dem Erd-Dschinn Kontra gegeben hatte. "Die Luft", fuhr ich fort, "die in den Nächten der Kristalloase süß und kühl sein mag, ist hier heiß und trocken und dörrt meine Kehle aus."

Der Luft-Dschin kniff wortlos und deutlich enttäuscht die Augen zusammen.

Ich wendete mich dem Feuer-Dschinn zu. "Und die Sonne ist wie ein Backofen und bietet wenig Linderung. Die Hitze wird vom Sand absorbiert und gelangt so in die Luft. Erde, Luft und Feuer machen gemeinsame Sache, um mein Leben im trockenen Sand von Elona zu beenden."

Die drei Dschinn, von deren Elementen ich gesprochen hatte, murrten und wendeten sich erwartungsvoll dem letzten zu.

"Es gibt jedoch ein Element, das das Missbehagen durch die anderen lindern könnte", sagte ich. Der Wasser-Dschinn, dem meine Worte behagten, hob die Arme und manifestierte eine prächtige Kugel reinen, frischen Wassers. Sie schwebte vor mir, gehalten vom Willen des Dschinn.

"Dann betrachtet Euer Missbehagen als gelindert", sagte der Wasser-Dschinn. "Trinkt und lasst uns eine Zeitlang von anderen Themen als den Elementen sprechen."

So kam es, dass ich mich mit dem Wasser-Dschinn anfreundete, wenn auch auf Kosten der anderen drei Dschinn. Sie waren nicht sehr begeistert darüber, dass sie ihre monatelange Debatte verloren hatten und weigerten sich, jemals wieder mit mir zu sprechen. Doch der Wasser-Dschinn konnte mir den Weg weisen und begleitete mich in Gestalt und Wort, so weit es ihm denn möglich war.

Seit diesem schicksalhaften Tag ist viel Zeit vergangen, und ich habe mich ebenso sehr auf diesen Wasser-Dschinn verlassen, wie er sich auf mich. Wir haben die heißen Sande Elonas zurückgelassen und uns im (sowohl, was die Temperatur, als auch, was die Natur betrifft) gemäßigteren Kryta niedergelassen. Doch oft schon habe ich an die Begegnung in den Dünen zurückgedacht. Unabhängig von den Umständen komme ich jedes Mal zum gleichen Schluss darüber, welchem Element die Menschheit den Vorzug geben sollte: Die Erde ist breit und Ehrfurcht gebietend, doch das Wohl derer, die auf ihr wandeln, kümmert sie wenig, die Luft bewahrt das Leben, doch sie verbessert nicht dessen Qualität. Feuer spendet Licht, doch es brennt heiß am Himmel über Elona. Es ist Wasser und nur Wasser, das eine Ruhepause von den Elementen bietet und das Leben in Tyria auch unter den härtesten Bedingungen noch ein wenig erträglicher macht.

Unterhalten kann man sich mit ihm ebenfalls ganz gut."
"37";"Qadim hat Euch ausgewählt!"
"38";"Lasst ein Aufputschmittel fallen, das Wut und Eile gewährt."
"39";"Sammelt einen Windkristall, um diese Fertigkeit freizuschalten."
"40";"Vehtendi-Akademie, Domäne Vaabi"
"41";"Irgendwo in der Ödnis"
"42";"Elonischer Wein"
"43";"Kristallsammlung: Silber"
"44";"Ist es wahr?"
"45";"Kristallsammlung: Bronze"
"46";"Quintett ist Quintessenz"
"47";"Teer"
