"0";"Mystic Forge Contract"
I turned to the air djinn, who seemed initially pleased with my dismissal of the earth djinn. "The air," I continued, "though it is sweet and cool in the evenings of Crystal Oasis, it is here hot and dry, parching my throat."

The air djinn squinted wordlessly, clearly disappointed.

I turned to the fire djinn. "And the baking hot sun offers little in the way of comfort. The heat is absorbed by the sand, coursing through the air. Earth, air, and fire conspire to end my life in the dry sands of Elona."

The three djinn I spoke of grumbled and turned expectantly toward the one remaining.

"There is, however, one element that could ease the discomfort of the other three," I said. The water djinn, pleased with my words, raised its arms and manifested a magnificent orb of pure, fresh water. It hovered before me, kept aloft by the djinn's will.

"Then consider your discomfort eased," said the water djinn. "Drink, and let us speak of topics unrelated to the elements for a time."

So it was that I came to befriend that water djinn, though at the expense of the other three. They were less than enthused to lose their months-long debate, and refused to speak with me ever again. Still, the water djinn was able to point me to my destination, and accompanied me in both company and conversation as far as its disposition would allow.

Much time has passed since that fateful encounter, and I have come to rely on this water djinn as much as it relies on me. We left the hot sands of Elona for the more temperate Kryta (both in temperature and disposition), but I have many times found myself thinking back to that meeting in the dunes. No matter what the circumstances, I arrive at the same conclusion as to which of the elements should earn humanity's favor: the earth is broad and awe inspiring, but it cares little for the comfort of its denizens; the air perpetuates life, but does not improve its quality; fire gives light, but burns hot in the skies of Elona. It is water and water alone that provides respite from the elements, and makes life in Tyria's harshest conditions even the slightest bit tolerable.

The conversation is quite acceptable as well."
"37";"Qadim has selected you!"
"38";"Drop a stimulant that grants fury and swiftness."
"39";"Collect a wind crystal to unlock this skill."
"40";"Vehtendi Academy, Domain of Vabbi"
"41";"Somewhere in the Desolation"
"42";"On Elonian Wine"
"43";"Crystal Collection: Silver"
"44";"Is it true?"
"45";"Crystal Collection: Bronze"
"46";"Quintessential Quintet"
"47";"Tar"
